text,text_label
"Amazing value, fantastic quality, very more pleased with the purchase.",Positive
Does not work as advertised — very disappointing.,Negative
Very poor design — not as described at all.,Negative
A beautiful and touching book that stayed with me.,Positive
Average design at a reasonable price.,Neutral
It is what it is — perfectly ordinary.,Neutral
"Amazing value, outstanding quality, very more delighted with the purchase.",Positive
A complete waste of time and money.,Negative
A huge letdown — I expected so much more.,Negative
Average build at a reasonable price.,Neutral
The device was boring and painfully unreliable.,Negative
It is what it is — perfectly ordinary.,Neutral
"Complete junk, total waste of money.",Negative
The direction was terrible and the story made no sense.,Negative
Very poor build — not as described at all.,Negative
Remarkable quality at a very fair price.,Positive
A middle-of-the-road experience overall.,Neutral
Decent enough but nothing remarkable.,Neutral
I loved every moment of this wonderful show.,Positive
Poorly made and utterly forgettable.,Negative
The direction was terrible and the narrative made no sense.,Negative
A complete waste of time and money.,Negative
Five stars — every features was perfectly crafted.,Positive
Absolutely dreadful — one of the worst shows ever.,Negative
The book was boring and painfully disappointing.,Negative
A complete waste of time and money.,Negative
Absolutely dreadful — one of the worst products ever.,Negative
Not bad but not particularly impressive either.,Neutral
Nothing redeems this — a total disaster.,Negative
"Amazing value, superb quality, very more delighted with the purchase.",Positive
A complete waste of time and money.,Negative
I would highly recommend this to everyone I know.,Positive
Functional but very basic — meets expectations.,Neutral
Decent enough but nothing remarkable.,Neutral
The product was boring and painfully predictable.,Negative
It is what it is — perfectly ordinary.,Neutral
Simply spectacular — I could not be more pleased.,Positive
Outstanding performance — exceeded all expectations.,Positive
Functional but very basic — meets expectations.,Neutral
"Complete junk, total waste of money.",Negative
Absolutely dreadful — one of the worst products ever.,Negative
"Works brilliant, very impressed with the performance.",Positive
Nothing redeems this — a total disaster.,Negative
It does the job but nothing to get excited about.,Neutral
Simply spectacular — I could not be more pleased.,Positive
Five stars — every pacing was perfectly crafted.,Positive
A beautiful and touching show that stayed with me.,Positive
Hands down the most enjoyable product I have encountered this year.,Positive
Hands down the most memorable album I have watched this year.,Positive
This film was absolutely amazing and unforgettable!,Positive
I would highly recommend this to everyone I know.,Positive
Not bad but not particularly impressive either.,Neutral
This album was absolutely amazing and beautiful!,Positive
Absolutely dreadful — one of the worst shows ever.,Negative
The movie was boring and painfully mediocre.,Negative
The movie had some good moments but also some unreliable parts.,Neutral
The album works as described — nothing more.,Neutral
"It was okay, neither excellent nor particularly frustrating.",Neutral
The interface was superb and deeply delightful.,Positive
"Complete junk, total waste of money.",Negative
Nothing redeems this — a total disaster.,Negative
Terrible script and an incoherent narrative.,Negative
The worst service I have experienced in years.,Negative
It is what it is — perfectly ordinary.,Neutral
It does the job but nothing to get excited about.,Neutral
Not bad but not particularly impressive either.,Neutral
The acting was terrible and the concept made no sense.,Negative
"Amazing value, superb quality, very happier with the purchase.",Positive
It is acceptable for everyday use I suppose.,Neutral
Very poor quality — not as described at all.,Negative
The film works as described — nothing more.,Neutral
A beautiful and touching app that stayed with me.,Positive
Outstanding build — exceeded all expectations.,Positive
A truly inspiring experience from start to finish.,Positive
Incredible — my whole family absolutely loved it.,Positive
Does not work as advertised — very frustrating.,Negative
I regret this film from start to finish.,Negative
I regret this product from start to finish.,Negative
"Complete junk, total waste of money.",Negative
A truly unforgettable experience from start to finish.,Positive
I loved every moment of this wonderful show.,Positive
Incredible — my whole family absolutely loved it.,Positive
A truly delightful experience from start to finish.,Positive
Hands down the finest movie I have encountered this year.,Positive
"Works fantastic, very impressed with the craftsmanship.",Positive
It is what it is — perfectly ordinary.,Neutral
Very poor build — not as described at all.,Negative
Nothing redeems this — a total disaster.,Negative
Does not work as advertised — very predictable.,Negative
Incredible — my whole family absolutely loved it.,Positive
"Amazing value, excellent quality, very more pleased with the purchase.",Positive
Neither impressed nor disappointed.,Neutral
Functional but very basic — meets expectations.,Neutral
"Complete junk, total waste of money.",Negative
The worst service I have experienced in years.,Negative
Hands down the greatest product I have used this year.,Positive
It is acceptable for everyday use I suppose.,Neutral
It is what it is — perfectly ordinary.,Neutral
The service was boring and painfully unreliable.,Negative
Simply spectacular — I could not be happier.,Positive
It does the job but nothing to get excited about.,Neutral
"Works outstanding, very impressed with the design.",Positive
A complete waste of time and money.,Negative
Average quality at a reasonable price.,Neutral
It is what it is — perfectly ordinary.,Neutral
The service works as described — nothing more.,Neutral
Incredible — my whole family absolutely loved it.,Positive
This app was absolutely brilliant and gripping!,Positive
Average build at a reasonable price.,Neutral
Simply spectacular — I could not be more delighted.,Positive
I have no strong feelings either way about this.,Neutral
A beautiful and touching course that stayed with me.,Positive
I loved every moment of this outstanding book.,Positive
Hands down the most impressive app I have watched this year.,Positive
The book broke after two days of use.,Negative
Absolutely dreadful — one of the worst products ever.,Negative
I regret this service from start to finish.,Negative
Hands down the most impressive movie I have experienced this year.,Positive
"It was okay, neither excellent nor particularly forgettable.",Neutral
It is what it is — perfectly ordinary.,Neutral
A beautiful and touching product that stayed with me.,Positive
The worst album I have experienced in years.,Negative
A huge letdown — I expected so much more.,Negative
The worst book I have experienced in years.,Negative
I have no strong feelings either way about this.,Neutral
Poorly made and utterly predictable.,Negative
Functional but very basic — meets expectations.,Neutral
Outstanding design — exceeded all anticipations.,Positive
Terrible script and an incoherent narrative.,Negative
A truly beautiful experience from start to finish.,Positive
A complete waste of time and money.,Negative
"Complete junk, total waste of money.",Negative
Outstanding performance — exceeded all expectations.,Positive
Best movie in its category without a doubt.,Positive
It is acceptable for everyday use I suppose.,Neutral
The course had some good moments but also some unreliable parts.,Neutral
Neither impressed nor disappointed.,Neutral
Decent enough but nothing impressive.,Neutral
A beautiful and touching movie that stayed with me.,Positive
Does not work as advertised — very mediocre.,Negative
Not bad but not particularly impressive either.,Neutral
I would not recommend this to anyone.,Negative
A beautiful and touching service that stayed with me.,Positive
Decent enough but nothing special.,Neutral
Nothing redeems this — a total disaster.,Negative
A huge letdown — I expected so much more.,Negative
"Amazing value, wonderful quality, very more delighted with the purchase.",Positive
This device was absolutely brilliant and unforgettable!,Positive
Best book in its category without a doubt.,Positive
Best course in its category without a doubt.,Positive
Outstanding design — exceeded all anticipations.,Positive
I have no strong feelings either way about this.,Neutral
Decent enough but nothing remarkable.,Neutral
Average quality at a reasonable price.,Neutral
The script was outstanding and deeply unforgettable.,Positive
A truly unforgettable experience from start to finish.,Positive
The worst service I have experienced in years.,Negative
Average quality at a reasonable price.,Neutral
Not bad but not particularly impressive either.,Neutral
Decent enough but nothing special.,Neutral
I would not recommend this to anyone.,Negative
Best course in its category without a doubt.,Positive
Neither impressed nor disappointed.,Neutral
Outstanding performance — exceeded all expectations.,Positive
Average performance at a reasonable price.,Neutral
I have no strong feelings either way about this.,Neutral
A middle-of-the-road experience overall.,Neutral
"Amazing value, fantastic quality, very more delighted with the purchase.",Positive
It does the job but nothing to get excited about.,Neutral
Outstanding design — exceeded all hopes.,Positive
It is what it is — perfectly ordinary.,Neutral
Decent enough but nothing noteworthy.,Neutral
The show had some good moments but also some mediocre parts.,Neutral
Nothing redeems this — a total disaster.,Negative
Average design at a reasonable price.,Neutral
Incredible — my whole family absolutely loved it.,Positive
Five stars — every features was perfectly crafted.,Positive
Poorly made and utterly forgettable.,Negative
The album was boring and painfully predictable.,Negative
Average design at a reasonable price.,Neutral
Remarkable performance at a very fair price.,Positive
Very poor build — not as described at all.,Negative
A middle-of-the-road experience overall.,Neutral
"Amazing value, fantastic quality, very more satisfied with the purchase.",Positive
"It was okay, neither outstanding nor particularly disappointing.",Neutral
The acting was terrible and the plot made no sense.,Negative
I would not recommend this to anyone.,Negative
Functional but very basic — meets expectations.,Neutral
"Works superb, very impressed with the design.",Positive
Average quality at a reasonable price.,Neutral
A complete waste of time and money.,Negative
Terrible features and an incoherent plot.,Negative
Very poor design — not as described at all.,Negative
"Complete junk, total waste of money.",Negative
A middle-of-the-road experience overall.,Neutral
Outstanding performance — exceeded all expectations.,Positive
The interface was superb and deeply unforgettable.,Positive
"Complete junk, total waste of money.",Negative
The album works as described — nothing more.,Neutral
It is acceptable for everyday use I suppose.,Neutral
I loved every moment of this brilliant film.,Positive
Functional but very basic — meets expectations.,Neutral
A complete waste of time and money.,Negative
Incredible — my whole family absolutely loved it.,Positive
Hands down the most impressive book I have experienced this year.,Positive
"Amazing value, amazing quality, very more pleased with the purchase.",Positive
The device had some good moments but also some disappointing parts.,Neutral
It is what it is — perfectly ordinary.,Neutral
Neither impressed nor disappointed.,Neutral
"Amazing value, excellent quality, very happier with the purchase.",Positive
I would not recommend this to anyone.,Negative
Remarkable design at a very fair price.,Positive
The sound was terrible and the concept made no sense.,Negative
I regret this course from start to finish.,Negative
A middle-of-the-road experience overall.,Neutral
The movie had some good moments but also some disappointing parts.,Neutral
Not bad but not particularly impressive either.,Neutral
Poorly made and utterly unreliable.,Negative
Absolutely dreadful — one of the worst movies ever.,Negative
I would highly recommend this to everyone I know.,Positive
The film was boring and painfully forgettable.,Negative
Very poor design — not as described at all.,Negative
Not bad but not particularly impressive either.,Neutral
"Complete junk, total waste of money.",Negative
Not bad but not particularly impressive either.,Neutral
A truly delightful experience from start to finish.,Positive
Hands down the most enjoyable show I have experienced this year.,Positive
I regret this album from start to finish.,Negative
Hands down the greatest device I have watched this year.,Positive
This book was absolutely amazing and inspiring!,Positive
Remarkable design at a very fair price.,Positive
Does not work as advertised — very unreliable.,Negative
Hands down the most impressive course I have seen this year.,Positive
A complete waste of time and money.,Negative
The sound was terrible and the plot made no sense.,Negative
"Amazing value, fantastic quality, very happier with the purchase.",Positive
I regret this show from start to finish.,Negative
The pacing was terrible and the narrative made no sense.,Negative
A huge letdown — I expected so much more.,Negative
Very poor build — not as described at all.,Negative
The design was wonderful and deeply delightful.,Positive
It is acceptable for everyday use I suppose.,Neutral
Very poor performance — not as described at all.,Negative
Nothing redeems this — a total disaster.,Negative
"It was okay, neither brilliant nor particularly mediocre.",Neutral
Average craftsmanship at a reasonable price.,Neutral
"Complete junk, total waste of money.",Negative
Simply spectacular — I could not be happier.,Positive
Nothing redeems this — a total disaster.,Negative
The film broke after two days of use.,Negative
The design was terrible and the narrative made no sense.,Negative
I have no strong feelings either way about this.,Neutral
I loved every moment of this fantastic book.,Positive
Poorly made and utterly forgettable.,Negative
"Amazing value, superb quality, very more pleased with the purchase.",Positive
I have no strong feelings either way about this.,Neutral
A truly delightful experience from start to finish.,Positive
Does not work as advertised — very predictable.,Negative
A complete waste of time and money.,Negative
It is what it is — perfectly ordinary.,Neutral
Decent enough but nothing impressive.,Neutral
I would highly recommend this to everyone I know.,Positive
I loved every moment of this amazing app.,Positive
Incredible — my whole family absolutely loved it.,Positive
Simply spectacular — I could not be more pleased.,Positive
I regret this app from start to finish.,Negative
Incredible — my whole family absolutely loved it.,Positive
Five stars — every design was perfectly crafted.,Positive
A complete waste of time and money.,Negative
This film was absolutely wonderful and unforgettable!,Positive
Neither impressed nor disappointed.,Neutral
I loved every moment of this amazing movie.,Positive
A truly moving experience from start to finish.,Positive
"Works outstanding, very impressed with the performance.",Positive
Remarkable craftsmanship at a very fair price.,Positive
"Amazing value, fantastic quality, very more pleased with the purchase.",Positive
It is what it is — perfectly ordinary.,Neutral
This movie was absolutely fantastic and unforgettable!,Positive
A truly unforgettable experience from start to finish.,Positive
A truly unforgettable experience from start to finish.,Positive
"Amazing value, fantastic quality, very more delighted with the purchase.",Positive
I would highly recommend this to everyone I know.,Positive
A huge letdown — I expected so much more.,Negative
A huge letdown — I expected so much more.,Negative
This show was absolutely excellent and inspiring!,Positive
A beautiful and touching movie that stayed with me.,Positive
"Complete junk, total waste of money.",Negative
I have no strong feelings either way about this.,Neutral
Terrible sound and an incoherent concept.,Negative
"Amazing value, fantastic quality, very more delighted with the purchase.",Positive
The worst film I have experienced in years.,Negative
Decent enough but nothing special.,Neutral
A complete waste of time and money.,Negative
Functional but very basic — meets expectations.,Neutral
I regret this app from start to finish.,Negative
Nothing redeems this — a total disaster.,Negative
Very poor build — not as described at all.,Negative
I have no strong feelings either way about this.,Neutral
The show had some good moments but also some frustrating parts.,Neutral
I loved every moment of this wonderful product.,Positive
"Works wonderful, very impressed with the quality.",Positive
Average performance at a reasonable price.,Neutral
I loved every moment of this excellent app.,Positive
A huge letdown — I expected so much more.,Negative
I loved every moment of this fantastic device.,Positive
Simply spectacular — I could not be happier.,Positive
Best movie in its category without a doubt.,Positive
A truly moving experience from start to finish.,Positive
Best app in its category without a doubt.,Positive
A beautiful and touching course that stayed with me.,Positive
The album had some good moments but also some unreliable parts.,Neutral
Poorly made and utterly predictable.,Negative
Very poor design — not as described at all.,Negative
The film was boring and painfully disappointing.,Negative
"Complete junk, total waste of money.",Negative
A truly inspiring experience from start to finish.,Positive
Not bad but not particularly impressive either.,Neutral
A middle-of-the-road experience overall.,Neutral
"Complete junk, total waste of money.",Negative
Hands down the most memorable service I have experienced this year.,Positive
Simply spectacular — I could not be happier.,Positive
"Amazing value, amazing quality, very more satisfied with the purchase.",Positive
Remarkable quality at a very fair price.,Positive
The course broke after two days of use.,Negative
"Complete junk, total waste of money.",Negative
Nothing redeems this — a total disaster.,Negative
Outstanding performance — exceeded all expectations.,Positive
I regret this show from start to finish.,Negative
Nothing redeems this — a total disaster.,Negative
The app was boring and painfully frustrating.,Negative
The sound was brilliant and deeply unforgettable.,Positive
Remarkable design at a very fair price.,Positive
Best service in its category without a doubt.,Positive
Incredible — my whole family absolutely loved it.,Positive
Best product in its category without a doubt.,Positive
A truly inspiring experience from start to finish.,Positive
Simply spectacular — I could not be happier.,Positive
Terrible plot and an incoherent plot.,Negative
The course had some good moments but also some forgettable parts.,Neutral
Hands down the most impressive course I have used this year.,Positive
Outstanding build — exceeded all hopes.,Positive
A complete waste of time and money.,Negative
"Amazing value, excellent quality, very happier with the purchase.",Positive
"It was okay, neither excellent nor particularly disappointing.",Neutral
Hands down the finest show I have watched this year.,Positive
Terrible plot and an incoherent story.,Negative
The sound was superb and deeply inspiring.,Positive
The book was boring and painfully disappointing.,Negative
Simply spectacular — I could not be more satisfied.,Positive
Absolutely dreadful — one of the worst books ever.,Negative
I would not recommend this to anyone.,Negative
Best course in its category without a doubt.,Positive
I would not recommend this to anyone.,Negative
Simply spectacular — I could not be more delighted.,Positive
I have no strong feelings either way about this.,Neutral
I would not recommend this to anyone.,Negative
It does the job but nothing to get excited about.,Neutral
Hands down the most impressive service I have seen this year.,Positive
Simply spectacular — I could not be happier.,Positive
"Complete junk, total waste of money.",Negative
I would highly recommend this to everyone I know.,Positive
Five stars — every acting was perfectly crafted.,Positive
A complete waste of time and money.,Negative
The worst course I have experienced in years.,Negative
Neither impressed nor disappointed.,Neutral
The acting was terrible and the premise made no sense.,Negative
A middle-of-the-road experience overall.,Neutral
The sound was excellent and deeply moving.,Positive
A truly delightful experience from start to finish.,Positive
A huge letdown — I expected so much more.,Negative
"Amazing value, brilliant quality, very happier with the purchase.",Positive
A beautiful and touching book that stayed with me.,Positive
A huge letdown — I expected so much more.,Negative
A complete waste of time and money.,Negative
The film works as described — nothing more.,Neutral
Outstanding quality — exceeded all hopes.,Positive
Hands down the most enjoyable film I have watched this year.,Positive
Decent enough but nothing noteworthy.,Neutral
A middle-of-the-road experience overall.,Neutral
Best film in its category without a doubt.,Positive
The features was outstanding and deeply unforgettable.,Positive
The film broke after two days of use.,Negative
Neither impressed nor disappointed.,Neutral
A beautiful and touching product that stayed with me.,Positive
The show was boring and painfully frustrating.,Negative
I would not recommend this to anyone.,Negative
Hands down the finest course I have experienced this year.,Positive
It is acceptable for everyday use I suppose.,Neutral
A truly gripping experience from start to finish.,Positive
The script was wonderful and deeply unforgettable.,Positive
I loved every moment of this superb service.,Positive
I would highly recommend this to everyone I know.,Positive
Does not work as advertised — very disappointing.,Negative
The direction was terrible and the premise made no sense.,Negative
Five stars — every direction was perfectly crafted.,Positive
Remarkable build at a very fair price.,Positive
Terrible direction and an incoherent plot.,Negative
Remarkable build at a very fair price.,Positive
Poorly made and utterly predictable.,Negative
Functional but very basic — meets expectations.,Neutral
The worst album I have experienced in years.,Negative
Decent enough but nothing impressive.,Neutral
The plot was excellent and deeply delightful.,Positive
I would not recommend this to anyone.,Negative
I regret this device from start to finish.,Negative
Hands down the most memorable show I have used this year.,Positive
Very poor craftsmanship — not as described at all.,Negative
Does not work as advertised — very forgettable.,Negative
A complete waste of time and money.,Negative
Terrible plot and an incoherent story.,Negative
"Works wonderful, very impressed with the build.",Positive
I would not recommend this to anyone.,Negative
I have no strong feelings either way about this.,Neutral
Outstanding design — exceeded all hopes.,Positive
Best product in its category without a doubt.,Positive
I loved every moment of this brilliant show.,Positive
Hands down the finest film I have used this year.,Positive
It is acceptable for everyday use I suppose.,Neutral
Remarkable performance at a very fair price.,Positive
Best movie in its category without a doubt.,Positive
"Amazing value, amazing quality, very more satisfied with the purchase.",Positive
A truly inspiring experience from start to finish.,Positive
Very poor performance — not as described at all.,Negative
The pacing was terrible and the narrative made no sense.,Negative
Hands down the most impressive service I have watched this year.,Positive
Poorly made and utterly predictable.,Negative
Decent enough but nothing noteworthy.,Neutral
Terrible plot and an incoherent plot.,Negative
It is what it is — perfectly ordinary.,Neutral
I would not recommend this to anyone.,Negative
A truly moving experience from start to finish.,Positive
Five stars — every acting was perfectly crafted.,Positive
The sound was terrible and the concept made no sense.,Negative
The product works as described — nothing more.,Neutral
The app broke after two days of use.,Negative
The plot was terrible and the premise made no sense.,Negative
"Amazing value, amazing quality, very happier with the purchase.",Positive
A huge letdown — I expected so much more.,Negative
Best film in its category without a doubt.,Positive
Outstanding build — exceeded all hopes.,Positive
The film broke after two days of use.,Negative
A complete waste of time and money.,Negative
The app broke after two days of use.,Negative
Best app in its category without a doubt.,Positive
It does the job but nothing to get excited about.,Neutral
"Works brilliant, very impressed with the craftsmanship.",Positive
I loved every moment of this amazing movie.,Positive
Terrible interface and an incoherent premise.,Negative
Best movie in its category without a doubt.,Positive
Average performance at a reasonable price.,Neutral
Not bad but not particularly impressive either.,Neutral
I would not recommend this to anyone.,Negative
"Amazing value, brilliant quality, very happier with the purchase.",Positive
The album broke after two days of use.,Negative
The worst course I have experienced in years.,Negative
Best course in its category without a doubt.,Positive
A huge letdown — I expected so much more.,Negative
Best app in its category without a doubt.,Positive
It does the job but nothing to get excited about.,Neutral
This book was absolutely amazing and gripping!,Positive
Five stars — every pacing was perfectly crafted.,Positive
The album works as described — nothing more.,Neutral
Neither impressed nor disappointed.,Neutral
Functional but very basic — meets expectations.,Neutral
"Complete junk, total waste of money.",Negative
"Amazing value, amazing quality, very happier with the purchase.",Positive
The plot was excellent and deeply beautiful.,Positive
Remarkable design at a very fair price.,Positive
The sound was terrible and the plot made no sense.,Negative
The app was boring and painfully unreliable.,Negative
It is what it is — perfectly ordinary.,Neutral
Not bad but not particularly impressive either.,Neutral
The features was terrible and the premise made no sense.,Negative
The course broke after two days of use.,Negative
Absolutely dreadful — one of the worst shows ever.,Negative
"It was okay, neither superb nor particularly predictable.",Neutral
Poorly made and utterly disappointing.,Negative
Decent enough but nothing impressive.,Neutral
This service was absolutely amazing and beautiful!,Positive
The product works as described — nothing more.,Neutral
Average craftsmanship at a reasonable price.,Neutral
The movie had some good moments but also some unreliable parts.,Neutral
The device works as described — nothing more.,Neutral
Neither impressed nor disappointed.,Neutral
Very poor design — not as described at all.,Negative
Terrible plot and an incoherent plot.,Negative
The worst movie I have experienced in years.,Negative
Best device in its category without a doubt.,Positive
Incredible — my whole family absolutely loved it.,Positive
Hands down the finest course I have encountered this year.,Positive
Functional but very basic — meets expectations.,Neutral
A complete waste of time and money.,Negative
Very poor craftsmanship — not as described at all.,Negative
The sound was terrible and the story made no sense.,Negative
I would highly recommend this to everyone I know.,Positive
Hands down the most memorable service I have seen this year.,Positive
Five stars — every direction was perfectly crafted.,Positive
Simply spectacular — I could not be more satisfied.,Positive
A truly unforgettable experience from start to finish.,Positive
Best album in its category without a doubt.,Positive
Outstanding craftsmanship — exceeded all expectations.,Positive
Nothing redeems this — a total disaster.,Negative
A beautiful and touching service that stayed with me.,Positive
I would not recommend this to anyone.,Negative
This movie was absolutely brilliant and moving!,Positive
I loved every moment of this outstanding course.,Positive
I regret this course from start to finish.,Negative
Simply spectacular — I could not be more pleased.,Positive
I would highly recommend this to everyone I know.,Positive
Functional but very basic — meets expectations.,Neutral
The acting was terrible and the narrative made no sense.,Negative
Very poor quality — not as described at all.,Negative
A complete waste of time and money.,Negative
A truly moving experience from start to finish.,Positive
The movie was boring and painfully unreliable.,Negative
The worst service I have experienced in years.,Negative
A beautiful and touching film that stayed with me.,Positive
Simply spectacular — I could not be more delighted.,Positive
A complete waste of time and money.,Negative
Very poor design — not as described at all.,Negative
"Works fantastic, very impressed with the craftsmanship.",Positive
Poorly made and utterly frustrating.,Negative
Poorly made and utterly unreliable.,Negative
Hands down the most memorable album I have watched this year.,Positive
Incredible — my whole family absolutely loved it.,Positive
Hands down the greatest device I have experienced this year.,Positive
Does not work as advertised — very frustrating.,Negative
A truly gripping experience from start to finish.,Positive
I loved every moment of this wonderful service.,Positive
"Complete junk, total waste of money.",Negative
Simply spectacular — I could not be more satisfied.,Positive
Hands down the most enjoyable service I have encountered this year.,Positive
The product had some good moments but also some predictable parts.,Neutral
I would highly recommend this to everyone I know.,Positive
"Amazing value, fantastic quality, very more delighted with the purchase.",Positive
The film was boring and painfully unreliable.,Negative
It does the job but nothing to get excited about.,Neutral
A middle-of-the-road experience overall.,Neutral
Neither impressed nor disappointed.,Neutral
The sound was outstanding and deeply gripping.,Positive
Best course in its category without a doubt.,Positive
I would highly recommend this to everyone I know.,Positive
It is what it is — perfectly ordinary.,Neutral
Nothing redeems this — a total disaster.,Negative
Five stars — every design was perfectly crafted.,Positive
Decent enough but nothing impressive.,Neutral
Very poor craftsmanship — not as described at all.,Negative
The device was boring and painfully mediocre.,Negative
Terrible plot and an incoherent narrative.,Negative
It is what it is — perfectly ordinary.,Neutral
Poorly made and utterly predictable.,Negative
Does not work as advertised — very frustrating.,Negative
"Complete junk, total waste of money.",Negative
Hands down the finest product I have experienced this year.,Positive
A complete waste of time and money.,Negative
The worst service I have experienced in years.,Negative
The worst course I have experienced in years.,Negative
